2025-10-24 15:03:33,284 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc191c0 ch=6
2025-10-24 15:03:33,521 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc191c0 ch=6
2025-10-24 15:03:33,760 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc191c0 ch=7
2025-10-24 15:03:34,005 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc191c0 ch=7
2025-10-24 15:03:45,400 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=0
2025-10-24 15:03:45,885 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=1
2025-10-24 15:03:46,290 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=2
2025-10-24 15:03:46,760 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=3
2025-10-24 15:03:47,240 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=4
2025-10-24 15:03:47,480 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=5
2025-10-24 15:03:47,720 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=5
2025-10-24 15:03:47,961 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=6
2025-10-24 15:03:48,200 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=6
2025-10-24 15:03:48,440 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=7
2025-10-24 15:03:48,683 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044608 ch=7
2025-10-24 15:03:54,331 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=0
2025-10-24 15:03:54,806 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=1
2025-10-24 15:03:55,245 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=2
